run,logic,avg_time_total,avg_time_broker_queue,avg_time_worker_queue,avg_time_olt_queue,different_olts,requests,timedout_share
0  ,1    ,20559.0       ,6.0                  ,8527.0               ,8600.0            ,3             ,100     ,0.24
1  ,2    ,38790.0       ,6.0                  ,23680.0              ,11683.0           ,3             ,100     ,0.33
2  ,3    ,46940.0       ,-                    ,-                    ,7585.0            ,3             ,100     ,0.24
3  ,1    ,105464.0      ,5.0                  ,50679.0              ,51326.0           ,3             ,1000    ,0.85
4  ,2    ,334778.0      ,6.0                  ,252297.0             ,78467.0           ,3             ,1000    ,0.797
5  ,3    ,1361795.0     ,-                    ,-                    ,14200.0           ,3             ,1000    ,0.163
-- com a nova implementacao
0  ,1    ,23092.0       ,6.0                  ,8519.0               ,11141.0           ,3             ,100     ,0.29
1  ,2    ,33198.0       ,6.0                  ,22838.0              ,6931.0            ,3             ,100     ,0.17
2  ,3    ,31761.0       ,-                    ,-                    ,3660.0            ,3             ,100     ,0.08
-- com a nova
0   ,1    ,42310.0       ,6.0                  ,36199.0              ,2677.0            ,3             ,100     ,0.06
1   ,2    ,53675.0       ,5.0                  ,48014.0              ,2322.0            ,3             ,100     ,0.08
2   ,3    ,49587.0       ,-                    ,-                    ,887.0             ,3             ,100     ,0.03
3   ,1    ,77788.0       ,5.0                  ,71331.0              ,3150.0            ,3             ,200     ,0.08
4   ,2    ,63239.0       ,5.0                  ,59085.0              ,853.0             ,3             ,200     ,0.02
5   ,3    ,81212.0       ,-                    ,-                    ,1075.0            ,3             ,200     ,0.035
6   ,1    ,203173.0      ,5.0                  ,197187.0             ,2554.0            ,3             ,500     ,0.064
7   ,2    ,166914.0      ,6.0                  ,162695.0             ,788.0             ,3             ,500     ,0.032
8   ,3    ,240597.0      ,-                    ,-                    ,937.0             ,3             ,500     ,0.036
9   ,1    ,512399.0      ,5.0                  ,505327.0             ,3610.0            ,3             ,1000    ,0.081
10  ,2    ,412133.0      ,6.0                  ,407426.0             ,1253.0            ,3             ,1000    ,0.045
11  ,3    ,1106334.0     ,-                    ,-                    ,915.0             ,3             ,1000    ,0.037